"緩慢金瓜石","台北 瑞芳區金瓜石石山里山尖路93-1號","3200"
"涵館民宿","台北 瑞芳區輕便路282號","2500"
"老舍民宿","台北 瑞芳區街頂巷20號","2200"
"利未莊園","台北 瑞芳區山尖路97號","2000"
"九份風之谷","台北 瑞芳區頌德里石崁巷23號","2900"
"金瓜石101","台北 瑞芳區金瓜石祈堂路101號","2500"
"A-HOME","台北 瑞芳區崙頂路55號","3200"
"依谷日安民宿","台北 瑞芳區金光路160號","3600"
"一直是晴天","台北 瑞芳區建基路二段9號","3300"
"山茶雅舍","台北 瑞芳區福住里基山街241號(九份老街尾)","3400"
"陽光味宿","台北 瑞芳區豎崎路56號","1800"
"八番坑&41民宿","台北 瑞芳區石埤巷41號","2000"
"九份未眠者花園民宿","台北 瑞芳區石埤巷78號","2300"
"五番坑公園堡","台北 瑞芳區基山街204號","1000"
"九份綠光","台北 瑞芳區輕便路320號","2000"
"溫莎堡香草庭院","台北 瑞芳區基山街62號","2600"
"九份岩屋","台北 瑞芳區崙頂路55號","2800"
"御華山莊民宿","台北 瑞芳區八號巷23號","2700"
"愛的物語民宿","台北 瑞芳區基山街190號","2900"
"水映藍天民宿","台北 瑞芳區坑尾巷23號","2000"
"九份方來民宿","台北 瑞芳區九份汽車路24號","1200"
"輕便露民宿","台北 瑞芳區輕便路117號","1200"
"日光涵館民宿","台北 瑞芳區基山街198及200號","3400"
"麗景民宿","台北 瑞芳區輕便路93號3樓","1200"
"雲山水小築","台北 瑞芳區山尖路72之1號","3000"
"緣憶民宿","台北 瑞芳區烏勢巷52號","450"
"熱門民宿","台北 瑞芳區街頂巷37號","1600"
"金瓜石藝棧","台北 瑞芳區山尖路2號","5250"
"九份風箏博物館民宿","台北 瑞芳區坑尾巷20號","1400"
"九份施家民宿","台北 瑞芳區基山街106-3號","1500"
"龍門客棧","台北 瑞芳區崙頂路110號","1500"
"綠野村山莊民宿","台北 瑞芳區坑子內路20之6號","2700"
"阿香姨民宿","台北 瑞芳區汽車路7號","800"
"九份喜來園","台北 瑞芳區汽車路9之13號","3100"
"九重町","台北 瑞芳區基山街29號","2700"
"悅山海","台北 瑞芳區崙頂路103號","1500"
"九份觀海樓民宿","台北 瑞芳區基山街183之1號(172號)","1300"
"九份李老師的家民宿","台北 瑞芳區崙頂路59號","1800"
"柳園民宿","台北 瑞芳區基山街237號","2400"
"石山水禪民宿","台北 瑞芳區山尖路54號","2400"
"九份高媽媽民宿","台北 瑞芳區汽車路7之5號","1400"
"Amour扮家家","台北 瑞芳區明燈路一段45巷(台電變電所附近)","2300"
"慢時光民宿","台北 瑞芳區祈堂路160號",""
"九份見晴民宿","台北 瑞芳區汽車路9之12號","2480"
"九份愉園","台北 瑞芳區民權街鐵路巷1之1號","2000"
"月河民宿","台北 瑞芳區金瓜石銅山里祈堂路130號","1500"
"陶紅舍","台北 瑞芳區洞頂路159號","2880"
"九份B&B民宿","台北 瑞芳區九份坑尾巷30號","2000"
"朵拉民宿","台北 瑞芳區基山街","2800"
"Sea Cafe","台北 瑞芳區水湳洞明里路208號","2380"
"美好時光","台北 瑞芳區崙頂路39-2號","2800"
"九份金瓜石散散步","台北 瑞芳區祈堂路110號","2800"
