"name","address","price","lon","lat"
"香城大飯店","臺北市 信義路四段295號",3120,121.555072,25.0334098
"麗都飯店","臺北市 信義路三段11號",2900,121.5337333,25.0337878
"頭等艙飯店","臺北市 中華路一段144號8樓",2700,121.508235,25.043218
"福泰桔子(西門店)","臺北市 中華路一段166之2",2880,121.507587,25.041298
"丰居旅店","臺北市 中華路一段114巷17號2樓",2680,121.507792,25.0439748
"東驛商旅","臺北市 昆明街76號8-9樓",1680,121.5054442,25.0457146
"銀河mini旅店","臺北市 漢中街147巷6號",1600,121.507514,25.0414349
"沐藍棧渡假民宿","新北市 石門區德茂村八甲路1號3樓",2300,121.525519,25.284534
"阿里磅生態農場","新北市 石門區乾華村阿里磅82之1號",1350,121.5671383,25.2908277
"三芝小白屋","新北市 三芝區芝柏路35號",5800,121.5117737,25.2557992
"三芝寄居蟹","新北市 三芝區淡金路一段",2500,121.4916191,25.2603636
"悠閒時光度假會所","新北市 三芝區淺水灣",3000,121.5193275,25.283601
"LaCasa嘴嘴的家民宿","新北市 三芝區芝柏山莊觀海街3號",1500,121.5024341,25.2593452
"藝術之家民宿","新北市 三芝區迎旭街22號",1500,121.5108202,25.2563936
"虹橋民宿","新北市 三芝區八賢村1鄰八連溪1之5號",1980,121.5024341,25.2593452
"牧羊女海邊民宿","新北市 三芝區後厝村北勢子45之15號2樓",2600,121.5024341,25.2593452
"杉夏精品民宿","新北市 三芝區古庄村5鄰四棧橋36之1號",1980,121.5024341,25.2593452
"塔卡的家民宿","新北市 三芝區芝柏五街18號",1600,121.5115467,25.2570113
"隨喻而安","新北市 三芝區晴光街11號",2500,121.5110134,25.2575518
"快樂天堂","新北市 三芝區後厝里北勢子4-20號",1999,121.4763452,25.2317645
"一畝田民宿","新北市 三芝區茂長村陳厝坑19之2號",1980,121.5024341,25.2593452
"四個孩子民宿","新北市 三芝區茂長村芝柏路85號",1300,121.5024341,25.2593452
"三芝洋房","新北市 三芝區迎旭街13號",7800,121.5108547,25.2563585
"淺水灣小旅店","新北市 三芝區北勢子45-12號",11800,121.500707,25.2550153
"櫻芝戀","新北市 三芝區淡金路一段",2000,121.4916191,25.2603636
"宰相會館","新北市 淡水區英專路79巷2號",1500,121.4486492,25.1731531
"花田居","新北市 淡水區石頭厝2之3號",600,121.4590144,25.235018
"漁人碼頭休閒旅館","新北市 淡水區中正路二段22巷8號",2310,121.4209018,25.1820695
"大自然養生會館","新北市 淡水區淡金路一段96號",2660,121.4545174,25.1793499
"歐朋侖旅店","新北市 淡水區中山路93號9樓",1980,121.4423479,25.1704185
"福容大飯店(淡水漁人碼頭)","新北市 淡水區觀海路83號",10800,121.41593,25.182102
"淡水日光行館民宿","新北市 淡水區忠寮里破瓦厝子12號",5000,121.4722279,25.1983436
"湯語雙泉民宿","新北市 金山區環金路295號",2800,121.6327354,25.2198877
"綠峰山莊","新北市 金山區重和里三重橋22號",2100,NA,NA
"劉住春天","新北市 金山區名流路10巷11號",2500,121.597452,25.2033691
"陽明山天籟渡假酒店","新北市 金山區重和里名流路1之7號",7800,121.5984027,25.2041626
"陽明山出霧溫泉","新北市 金山區山城路82之3號",8800,121.5988513,25.2009898
"張醫師的家","新北市 金山區中信南路二巷11號",10000,121.5966598,25.2024906
"水田園農莊","新北市 萬里區大鵬村加投路45之2號",1650,121.6397184,25.1676024
"緹閣溫泉會館","新北市 萬里區員潭路55號",2660,121.6433329,25.1917597
"沐舍溫泉酒店","新北市 萬里區萬里加投166之1號",3900,121.6446569,25.2142126
"金湧泉溫泉會館","新北市 萬里區萬里加投213之3號",3170,121.644585,25.214719
"金湯溫泉會館","新北市 萬里區大鵬里萬里加投路197之5號",2850,121.644585,25.214719
"憩園民宿","新北市 萬里區北基村愛二街24號",1500,121.6397184,25.1676024
"海華休閒別墅","新北市 萬里區龜吼村玉田路52號",2380,121.6397184,25.1676024
"自然山居","新北市 萬里區磺潭村員潭16之9號",1800,121.6397184,25.1676024
"萬金溫泉民宿","新北市 萬里區萬里加投45之6號",2160,121.6456315,25.2133642
"悠然居民宿","新北市 瑞芳區汽車路76號",1600,121.8449399,25.1114909
"馬克村莊","新北市 瑞芳區汽車路86號",400,121.844899,25.1108146
"九份阿源的家","新北市 瑞芳區輕便路13號",2600,121.8453421,25.1103224
"瑞芳橙橙民宿","新北市 瑞芳區中正路10號2樓",1800,121.808786,25.10716
"櫻沐居","新北市 瑞芳區輕便路95號",2980,121.8448823,25.1088003
"九份蘭櫻居","新北市 瑞芳區汽車路9之14號",1980,121.8461141,25.1113441
"途中‧九份","新北市 瑞芳區烏勢巷23號",600,121.8456138,25.1090417
"望幽谷民宿","新北市 瑞芳區汽車路108之3號",1500,121.8406346,25.1090866
"九份景棧民宿","新北市 瑞芳區汽車路29號",1900,121.8446233,25.1098618
"九份峇里民宿","新北市 瑞芳區汽車路115號",1500,121.8406618,25.1089917
"我們的家187","新北市 瑞芳區山尖路187號",3800,121.8508763,25.1125686
"緩慢金瓜石","新北市 瑞芳區金瓜石石山里山尖路93-1號",3200,121.8542932,25.1143623
"涵館民宿","新北市 瑞芳區輕便路282號",2500,121.8437993,25.1093153
"老舍民宿","新北市 瑞芳區街頂巷20號",2200,121.844567,25.10815
"利未莊園","新北市 瑞芳區山尖路97號",2000,121.85393,25.114068
"九份風之谷","新北市 瑞芳區頌德里石崁巷23號",2900,121.8388751,25.1083431
"金瓜石101","新北市 瑞芳區金瓜石祈堂路101號",2500,121.8601148,25.1089675
"A-HOME","新北市 瑞芳區崙頂路55號",3200,121.843875,25.10737
"依谷日安民宿","新北市 瑞芳區金光路160號",3600,121.8550689,25.1072605
"一直是晴天","新北市 瑞芳區建基路二段9號",3300,121.8074472,25.1328753
"山茶雅舍","新北市 瑞芳區福住里基山街241號(九份老街尾)",3400,121.8415309,25.1070526
"陽光味宿","新北市 瑞芳區豎崎路56號",1800,121.8426857,25.1101575
"八番坑&41民宿","新北市 瑞芳區石埤巷41號",2000,121.8416003,25.108282
"九份未眠者花園民宿","新北市 瑞芳區石埤巷78號",2300,121.822098,25.103052
"五番坑公園堡","新北市 瑞芳區基山街204號",1000,121.8420398,25.1068467
"九份綠光","新北市 瑞芳區輕便路320號",2000,121.843068,25.1086092
"溫莎堡香草庭院","新北市 瑞芳區基山街62號",2600,121.8441411,25.1085656
"九份岩屋","新北市 瑞芳區崙頂路55號",2800,121.843875,25.10737
"御華山莊民宿","新北市 瑞芳區八號巷23號",2700,121.8418241,25.11024
"愛的物語民宿","新北市 瑞芳區基山街190號",2900,121.8426998,25.107502
"水映藍天民宿","新北市 瑞芳區坑尾巷23號",2000,121.8440327,25.1105611
"九份方來民宿","新北市 瑞芳區九份汽車路24號",1200,121.8450013,25.1107189
"輕便露民宿","新北市 瑞芳區輕便路117號",1200,121.8449748,25.1090539
"日光涵館民宿","新北市 瑞芳區基山街198及200號",3400,121.842384,25.1072035
"麗景民宿","新北市 瑞芳區輕便路93號3樓",1200,121.8449365,25.1091181
"雲山水小築","新北市 瑞芳區山尖路72之1號",3000,121.854036,25.1150608
"緣憶民宿","新北市 瑞芳區烏勢巷52號",450,121.8457878,25.1090301
"熱門民宿","新北市 瑞芳區街頂巷37號",1600,121.8449177,25.1077031
"金瓜石藝棧","新北市 瑞芳區山尖路2號",5250,121.8543467,25.1156689
"九份風箏博物館民宿","新北市 瑞芳區坑尾巷20號",1400,121.8439418,25.1105934
"九份施家民宿","新北市 瑞芳區基山街106-3號",1500,121.8441411,25.1085656
"龍門客棧","新北市 瑞芳區崙頂路110號",1500,121.8442412,25.1074994
"綠野村山莊民宿","新北市 瑞芳區坑子內路20之6號",2700,121.795132,25.1023259
"阿香姨民宿","新北市 瑞芳區汽車路7號",800,121.8461141,25.1113441
"九份喜來園","新北市 瑞芳區汽車路9之13號",3100,121.8460967,25.1113138
"九重町","新北市 瑞芳區基山街29號",2700,121.845453,25.109138
